t,dt,x,y,delta,speed,location,dialog_open,bag_open,target,panel_size,event
3.64,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.69,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.74,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.79,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.84,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.89,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.94,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.99,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.04,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.09,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.14,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.19,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.24,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.29,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.34,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.39,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.44,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.49,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.54,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.60,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.65,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.70,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.75,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.80,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.85,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.90,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
4.95,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.00,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.05,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.10,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.15,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.20,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.25,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.30,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.35,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.40,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.45,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.50,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.55,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.60,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.66,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.71,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.76,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.81,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.86,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.91,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
5.96,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.01,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.06,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.11,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.16,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.21,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.26,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.31,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.36,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.41,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.46,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.51,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.56,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.61,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.67,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.72,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.77,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.82,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.87,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.92,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
6.97,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.02,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.07,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.12,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.17,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.22,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.27,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.32,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.37,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.42,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.47,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.52,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.58,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.63,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.68,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.73,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.78,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.83,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.88,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.93,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
7.98,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.03,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.08,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.13,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.18,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.23,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.28,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.33,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.38,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.43,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.48,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.53,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.59,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.64,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.69,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.74,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.79,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.84,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.89,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.94,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
8.99,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.04,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.09,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.14,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.19,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.24,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.29,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.34,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.39,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.44,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.50,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.55,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.60,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.65,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.70,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.75,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.80,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.85,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.90,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
9.95,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.00,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.05,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.10,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.15,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.20,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.25,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.31,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.36,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.41,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.46,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.51,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.56,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.61,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.66,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.71,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.76,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.81,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.86,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.91,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
10.96,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.01,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.06,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.11,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.16,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.22,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.27,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.32,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.37,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.42,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.47,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.52,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.57,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.62,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.67,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.72,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.77,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.82,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.87,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.92,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
11.97,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.02,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.07,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.13,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.18,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.23,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.28,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.33,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.38,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.43,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.48,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.53,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.58,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.63,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.68,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.73,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.78,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.83,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.88,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.93,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
12.98,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.04,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.09,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.14,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.19,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.24,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.29,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.34,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.39,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.44,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.49,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.54,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.59,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.64,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.69,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.74,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.79,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.84,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.89,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.94,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
13.99,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.04,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.10,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.15,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.20,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.25,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.30,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.35,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.40,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.45,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.50,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.55,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.60,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.65,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.70,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.75,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.80,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
14.86,0.050,422,54,1.4,28.0,Bewitcher Cave,0,0,,0,
14.91,0.051,422,54,0.0,0.0,Bewitcher Cave,0,0,,0,
14.96,0.051,421,54,1.0,19.8,Bewitcher Cave,0,0,,0,
15.01,0.051,421,54,0.0,0.0,Bewitcher Cave,0,0,,0,
15.06,0.051,420,55,1.4,28.0,Bewitcher Cave,0,0,,0,
15.11,0.051,420,55,0.0,0.0,Bewitcher Cave,0,0,,0,
15.16,0.051,418,56,2.2,44.2,Bewitcher Cave,0,0,,0,
15.21,0.050,418,56,0.0,0.0,Bewitcher Cave,0,0,,0,
15.26,0.050,417,57,1.4,28.1,Bewitcher Cave,0,0,,0,
15.31,0.051,417,57,0.0,0.0,Bewitcher Cave,0,0,,0,
15.36,0.051,416,58,1.4,28.0,Bewitcher Cave,0,0,,0,
15.41,0.050,416,58,0.0,0.0,Bewitcher Cave,0,0,,0,
15.46,0.051,414,59,2.2,44.2,Bewitcher Cave,0,0,,0,
15.51,0.051,414,59,0.0,0.0,Bewitcher Cave,0,0,,0,
15.56,0.051,413,60,1.4,27.8,Bewitcher Cave,0,0,,0,
15.61,0.051,413,60,0.0,0.0,Bewitcher Cave,0,0,,0,
15.66,0.050,412,60,1.0,19.9,Bewitcher Cave,0,0,,0,
15.71,0.051,412,60,0.0,0.0,Bewitcher Cave,0,0,,0,
15.77,0.051,410,61,2.2,44.0,Bewitcher Cave,0,0,,0,
15.82,0.051,410,61,0.0,0.0,Bewitcher Cave,0,0,,0,
15.87,0.051,409,62,1.4,27.6,Bewitcher Cave,0,0,,0,
15.92,0.050,409,62,0.0,0.0,Bewitcher Cave,0,0,,0,
15.97,0.050,407,63,2.2,44.5,Bewitcher Cave,0,0,,0,
16.02,0.051,407,63,0.0,0.0,Bewitcher Cave,0,0,,0,
16.07,0.051,406,64,1.4,27.9,Bewitcher Cave,0,0,,0,
16.12,0.051,406,64,0.0,0.0,Bewitcher Cave,0,0,,0,
16.17,0.050,404,65,2.2,44.3,Bewitcher Cave,0,0,,0,
16.22,0.052,404,65,0.0,0.0,Bewitcher Cave,0,0,,0,
16.27,0.050,403,66,1.4,28.2,Bewitcher Cave,0,0,,0,
16.32,0.050,403,66,0.0,0.0,Bewitcher Cave,0,0,,0,
16.37,0.051,402,67,1.4,28.0,Bewitcher Cave,0,0,,0,
16.42,0.051,402,67,0.0,0.0,Bewitcher Cave,0,0,,0,
16.47,0.050,400,68,2.2,44.5,Bewitcher Cave,0,0,,0,
16.52,0.051,400,68,0.0,0.0,Bewitcher Cave,0,0,,0,
16.57,0.050,399,69,1.4,28.1,Bewitcher Cave,0,0,,0,
16.63,0.051,399,69,0.0,0.0,Bewitcher Cave,0,0,,0,
16.68,0.050,398,69,1.0,19.9,Bewitcher Cave,0,0,,0,
16.73,0.051,398,69,0.0,0.0,Bewitcher Cave,0,0,,0,
16.78,0.050,396,70,2.2,44.4,Bewitcher Cave,0,0,,0,
16.83,0.051,396,70,0.0,0.0,Bewitcher Cave,0,0,,0,
16.88,0.051,395,71,1.4,27.9,Bewitcher Cave,0,0,,0,
16.93,0.051,395,71,0.0,0.0,Bewitcher Cave,0,0,,0,
16.98,0.051,393,72,2.2,44.3,Bewitcher Cave,0,0,,0,
17.03,0.050,393,72,0.0,0.0,Bewitcher Cave,0,0,,0,
17.08,0.050,392,73,1.4,28.0,Bewitcher Cave,0,0,,0,
17.13,0.051,392,73,0.0,0.0,Bewitcher Cave,0,0,,0,
17.18,0.051,391,74,1.4,27.9,Bewitcher Cave,0,0,,0,
17.23,0.051,391,74,0.0,0.0,Bewitcher Cave,0,0,,0,
17.28,0.050,389,75,2.2,44.3,Bewitcher Cave,0,0,,0,
17.33,0.050,389,75,0.0,0.0,Bewitcher Cave,0,0,,0,
17.38,0.050,388,76,1.4,28.0,Bewitcher Cave,0,0,,0,
17.43,0.051,388,76,0.0,0.0,Bewitcher Cave,0,0,,0,
17.48,0.050,386,77,2.2,44.5,Bewitcher Cave,0,0,,0,
17.53,0.051,386,77,0.0,0.0,Bewitcher Cave,0,0,,0,
17.59,0.051,385,77,1.0,19.8,Bewitcher Cave,0,0,,0,
17.64,0.051,385,77,0.0,0.0,Bewitcher Cave,0,0,,0,
17.69,0.050,384,78,1.4,28.0,Bewitcher Cave,0,0,,0,
17.74,0.051,382,79,2.2,44.1,Bewitcher Cave,0,0,,0,
17.79,0.051,382,79,0.0,0.0,Bewitcher Cave,0,0,,0,
17.84,0.050,382,79,0.0,0.0,Bewitcher Cave,0,0,,0,
17.89,0.051,381,80,1.4,27.9,Bewitcher Cave,0,0,,0,
17.94,0.051,380,81,1.4,27.9,Bewitcher Cave,0,0,,0,
17.99,0.050,380,81,0.0,0.0,Bewitcher Cave,0,0,,0,
18.04,0.050,378,82,2.2,44.5,Bewitcher Cave,0,0,,0,
18.09,0.051,378,82,0.0,0.0,Bewitcher Cave,0,0,,0,
18.14,0.051,377,83,1.4,27.9,Bewitcher Cave,0,0,,0,
18.19,0.051,377,83,0.0,0.0,Bewitcher Cave,0,0,,0,
18.24,0.051,375,83,2.0,39.4,Bewitcher Cave,0,0,,0,
18.29,0.050,375,83,0.0,0.0,Bewitcher Cave,0,0,,0,
18.34,0.050,374,84,1.4,28.0,Bewitcher Cave,0,0,,0,
18.39,0.050,374,84,0.0,0.0,Bewitcher Cave,0,0,,0,
18.44,0.051,373,85,1.4,27.9,Bewitcher Cave,0,0,,0,
