t,x,y,delta,location,dialog_open,bag_open,target,panel_size,event
3.59,276,-510,0.0,Stone City,0,0,,0,
3.64,276,-510,0.0,Stone City,0,0,,0,
3.69,276,-510,0.0,Stone City,0,0,,0,
3.74,276,-510,0.0,Stone City,0,0,,0,
3.79,276,-510,0.0,Stone City,0,0,,0,
3.85,276,-510,0.0,Stone City,0,0,,0,
3.90,276,-510,0.0,Stone City,0,0,,0,
3.95,276,-510,0.0,Stone City,0,0,,0,
4.00,276,-510,0.0,Stone City,0,0,,0,
4.05,276,-510,0.0,Stone City,0,0,,0,
4.70,276,-510,0.0,Stone City,0,0,,0,
4.75,276,-510,0.0,Stone City,0,0,,0,
4.80,276,-510,0.0,Stone City,0,0,,0,
4.85,276,-510,0.0,Stone City,0,0,,0,
4.90,276,-510,0.0,Stone City,0,0,,0,
4.95,276,-510,0.0,Stone City,0,0,,0,
5.00,276,-510,0.0,Stone City,0,0,,0,
5.05,276,-510,0.0,Stone City,0,0,,0,
5.10,276,-510,0.0,Stone City,0,0,,0,
5.15,276,-510,0.0,Stone City,0,0,,0,
5.20,276,-510,0.0,Stone City,0,0,,0,
5.25,276,-510,0.0,Stone City,0,0,,0,
5.30,276,-510,0.0,Stone City,0,0,,0,
5.35,276,-510,0.0,Stone City,0,0,,0,
5.40,276,-510,0.0,Stone City,0,0,,0,
5.45,276,-510,0.0,Stone City,0,0,,0,
5.51,276,-510,0.0,Stone City,0,0,,0,
5.56,276,-510,0.0,Stone City,0,0,,0,
5.61,276,-510,0.0,Stone City,0,0,,0,
5.66,276,-510,0.0,Stone City,0,0,,0,
5.71,276,-510,0.0,Stone City,0,0,,0,
5.76,276,-510,0.0,Stone City,0,0,,0,
5.81,276,-510,0.0,Stone City,0,0,,0,
5.86,276,-510,0.0,Stone City,0,0,,0,
5.91,276,-510,0.0,Stone City,0,0,,0,
5.96,276,-510,0.0,Stone City,0,0,,0,
6.01,276,-510,0.0,Stone City,0,0,,0,
6.06,276,-510,0.0,Stone City,0,0,,0,
6.72,276,-510,0.0,Stone City,0,0,,0,
6.77,276,-510,0.0,Stone City,0,0,,0,
6.82,276,-510,0.0,Stone City,0,0,,0,
6.87,276,-510,0.0,Stone City,0,0,,0,
6.92,276,-510,0.0,Stone City,0,0,,0,
6.97,276,-510,0.0,Stone City,0,0,,0,
7.02,276,-510,0.0,Stone City,0,0,,0,
7.07,276,-510,0.0,Stone City,0,0,,0,
7.12,276,-510,0.0,Stone City,0,0,,0,
7.17,276,-510,0.0,Stone City,0,0,,0,
7.22,276,-510,0.0,Stone City,0,0,,0,
7.27,276,-510,0.0,Stone City,0,0,,0,
7.33,276,-510,0.0,Stone City,0,0,,0,
7.38,276,-510,0.0,Stone City,0,0,,0,
7.43,276,-510,0.0,Stone City,0,0,,0,
7.48,276,-510,0.0,Stone City,0,0,,0,
7.53,276,-510,0.0,Stone City,0,0,,0,
7.58,276,-510,0.0,Stone City,0,0,,0,
7.63,276,-510,0.0,Stone City,0,0,,0,
7.68,276,-510,0.0,Stone City,0,0,,0,
7.73,276,-510,0.0,Stone City,0,0,,0,
7.78,276,-510,0.0,Stone City,0,0,,0,
7.83,276,-510,0.0,Stone City,0,0,,0,
7.88,276,-510,0.0,Stone City,0,0,,0,
7.93,276,-510,0.0,Stone City,0,0,,0,
7.98,276,-510,0.0,Stone City,0,0,,0,
8.03,276,-510,0.0,Stone City,0,0,,0,
8.08,276,-510,0.0,Stone City,0,0,,0,
8.75,276,-510,0.0,Stone City,0,0,,0,
8.80,276,-510,0.0,Stone City,0,0,,0,
8.85,276,-510,0.0,Stone City,0,0,,0,
8.90,276,-510,0.0,Stone City,0,0,,0,
8.95,276,-510,0.0,Stone City,0,0,,0,
9.00,276,-510,0.0,Stone City,0,0,,0,
9.05,276,-510,0.0,Stone City,0,0,,0,
9.10,276,-510,0.0,Stone City,0,0,,0,
9.15,276,-510,0.0,Stone City,0,0,,0,
9.20,276,-510,0.0,Stone City,0,0,,0,
9.25,276,-510,0.0,Stone City,0,0,,0,
9.30,276,-510,0.0,Stone City,0,0,,0,
9.36,276,-510,0.0,Stone City,0,0,,0,
9.41,276,-510,0.0,Stone City,0,0,,0,
9.46,276,-510,0.0,Stone City,0,0,,0,
9.51,276,-510,0.0,Stone City,0,0,,0,
9.56,276,-510,0.0,Stone City,0,0,,0,
9.61,276,-510,0.0,Stone City,0,0,,0,
9.66,276,-510,0.0,Stone City,0,0,,0,
9.71,276,-510,0.0,Stone City,0,0,,0,
9.76,276,-510,0.0,Stone City,0,0,,0,
9.81,276,-510,0.0,Stone City,0,0,,0,
9.86,276,-510,0.0,Stone City,0,0,,0,
9.91,276,-510,0.0,Stone City,0,0,,0,
9.96,276,-510,0.0,Stone City,0,0,,0,
10.01,276,-510,0.0,Stone City,0,0,,0,
10.06,276,-510,0.0,Stone City,0,0,,0,
10.11,276,-510,0.0,Stone City,0,0,,0,
10.76,178,-516,98.2,Stone City,0,0,,0,SALTO de 98 unidades
10.81,178,-516,0.0,Stone City,0,0,,0,
10.86,178,-516,0.0,Stone City,0,0,,0,
10.91,178,-516,0.0,Stone City,0,0,,0,
10.96,178,-516,0.0,Stone City,0,0,,0,
11.01,178,-516,0.0,Stone City,0,0,,0,
11.06,178,-516,0.0,Stone City,0,0,,0,
11.11,178,-516,0.0,Stone City,0,0,,0,
11.17,178,-516,0.0,Stone City,0,0,,0,
11.22,178,-516,0.0,Stone City,0,0,,0,
11.27,178,-516,0.0,Stone City,0,0,,0,
11.32,178,-516,0.0,Stone City,0,0,,0,
11.37,178,-516,0.0,Stone City,0,0,,0,
11.42,178,-516,0.0,Stone City,0,0,,0,
11.47,178,-516,0.0,Stone City,0,0,,0,
11.52,178,-516,0.0,Stone City,0,0,,0,
11.57,178,-516,0.0,Stone City,0,0,,0,
11.62,178,-516,0.0,Stone City,0,0,,0,
11.67,178,-516,0.0,Stone City,0,0,,0,
11.72,178,-516,0.0,Stone City,0,0,,0,
11.77,178,-516,0.0,Stone City,0,0,,0,
11.82,178,-516,0.0,Stone City,0,0,,0,
11.87,178,-516,0.0,Stone City,0,0,,0,
11.92,178,-516,0.0,Stone City,0,0,,0,
11.97,178,-516,0.0,Stone City,0,0,,0,
12.02,178,-516,0.0,Stone City,0,0,,0,
12.08,178,-516,0.0,Stone City,0,0,,0,
12.13,178,-516,0.0,Stone City,0,0,,0,
12.76,178,-516,0.0,Stone City,0,0,,0,
12.81,178,-516,0.0,Stone City,0,0,,0,
12.86,178,-516,0.0,Stone City,0,0,,0,
12.91,178,-516,0.0,Stone City,0,0,,0,
12.96,178,-516,0.0,Stone City,0,0,,0,
13.01,178,-516,0.0,Stone City,0,0,,0,
13.06,178,-516,0.0,Stone City,0,0,,0,
13.11,178,-516,0.0,Stone City,0,0,,0,
13.16,178,-516,0.0,Stone City,0,0,,0,
13.21,178,-516,0.0,Stone City,0,0,,0,
13.26,178,-516,0.0,Stone City,0,0,,0,
13.31,178,-516,0.0,Stone City,0,0,,0,
13.36,178,-516,0.0,Stone City,0,0,,0,
13.41,178,-516,0.0,Stone City,0,0,,0,
13.47,178,-516,0.0,Stone City,0,0,,0,
13.52,178,-516,0.0,Stone City,0,0,,0,
13.57,178,-516,0.0,Stone City,0,0,,0,
13.62,178,-516,0.0,Stone City,0,0,,0,
13.67,178,-516,0.0,Stone City,0,0,,0,
13.72,178,-516,0.0,Stone City,0,0,,0,
13.77,178,-516,0.0,Stone City,0,0,,0,
13.82,178,-516,0.0,Stone City,0,0,,0,
13.87,178,-516,0.0,Stone City,0,0,,0,
13.92,178,-516,0.0,Stone City,0,0,,0,
13.97,178,-516,0.0,Stone City,0,0,,0,
14.02,178,-516,0.0,Stone City,0,0,,0,
14.07,178,-516,0.0,Stone City,0,0,,0,
14.12,178,-516,0.0,Stone City,0,0,,0,
14.17,178,-516,0.0,Stone City,0,0,,0,
14.80,178,-516,0.0,Stone City,0,0,,0,
14.85,178,-516,0.0,Stone City,0,0,,0,
14.90,178,-516,0.0,Stone City,0,0,,0,
14.95,178,-516,0.0,Stone City,0,0,,0,
15.00,178,-516,0.0,Stone City,0,0,,0,
15.05,178,-516,0.0,Stone City,0,0,,0,
15.10,178,-516,0.0,Stone City,0,0,,0,
15.15,178,-516,0.0,Stone City,0,0,,0,
15.21,178,-516,0.0,Stone City,0,0,,0,
15.26,178,-516,0.0,Stone City,0,0,,0,
15.31,178,-516,0.0,Stone City,0,0,,0,
15.36,178,-516,0.0,Stone City,0,0,,0,
15.41,178,-516,0.0,Stone City,0,0,,0,
15.46,178,-516,0.0,Stone City,0,0,,0,
15.51,178,-516,0.0,Stone City,0,0,,0,
15.56,178,-516,0.0,Stone City,0,0,,0,
15.61,178,-516,0.0,Stone City,0,0,,0,
15.66,178,-516,0.0,Stone City,0,0,,0,
15.71,178,-516,0.0,Stone City,0,0,,0,
15.76,178,-516,0.0,Stone City,0,0,,0,
15.81,178,-516,0.0,Stone City,0,0,,0,
15.86,178,-516,0.0,Stone City,0,0,,0,
15.91,178,-516,0.0,Stone City,0,0,,0,
15.96,178,-516,0.0,Stone City,0,0,,0,
16.01,178,-516,0.0,Stone City,0,0,,0,
16.06,178,-516,0.0,Stone City,0,0,,0,
16.12,178,-516,0.0,Stone City,0,0,,0,
16.17,178,-516,0.0,Stone City,0,0,,0,
16.22,178,-516,0.0,Stone City,0,0,,0,
16.85,178,-516,0.0,Stone City,0,0,,0,
16.90,178,-516,0.0,Stone City,0,0,,0,
16.95,178,-516,0.0,Stone City,0,0,,0,
17.01,178,-516,0.0,Stone City,0,0,,0,
17.06,178,-516,0.0,Stone City,0,0,,0,
17.11,178,-516,0.0,Stone City,0,0,,0,
17.16,178,-516,0.0,Stone City,0,0,,0,
17.21,178,-516,0.0,Stone City,0,0,,0,
17.26,178,-516,0.0,Stone City,0,0,,0,
17.31,178,-516,0.0,Stone City,0,0,,0,
17.36,178,-516,0.0,Stone City,0,0,,0,
17.41,178,-516,0.0,Stone City,0,0,,0,
17.46,178,-516,0.0,Stone City,0,0,,0,
17.51,178,-516,0.0,Stone City,0,0,,0,
17.56,178,-516,0.0,Stone City,0,0,,0,
17.61,178,-516,0.0,Stone City,0,0,,0,
17.66,178,-516,0.0,Stone City,0,0,,0,
17.71,178,-516,0.0,Stone City,0,0,,0,
17.76,178,-516,0.0,Stone City,0,0,,0,
17.81,178,-516,0.0,Stone City,0,0,,0,
17.86,178,-516,0.0,Stone City,0,0,,0,
17.91,178,-516,0.0,Stone City,0,0,,0,
17.96,178,-516,0.0,Stone City,0,0,,0,
18.01,178,-516,0.0,Stone City,0,0,,0,
18.06,178,-516,0.0,Stone City,0,0,,0,
18.11,178,-516,0.0,Stone City,0,0,,0,
18.17,178,-516,0.0,Stone City,0,0,,0,
18.22,178,-516,0.0,Stone City,0,0,,0,
18.27,178,-516,0.0,Stone City,0,0,,0,
18.89,178,-516,0.0,Stone City,0,0,,0,
18.94,178,-516,0.0,Stone City,0,0,,0,
18.99,178,-516,0.0,Stone City,0,0,,0,
19.04,178,-516,0.0,Stone City,0,0,,0,
19.09,178,-516,0.0,Stone City,0,0,,0,
19.14,178,-516,0.0,Stone City,0,0,,0,
19.19,178,-516,0.0,Stone City,0,0,,0,
19.25,178,-516,0.0,Stone City,0,0,,0,
19.30,178,-516,0.0,Stone City,0,0,,0,
19.35,178,-516,0.0,Stone City,0,0,,0,
19.40,178,-516,0.0,Stone City,0,0,,0,
19.45,178,-516,0.0,Stone City,0,0,,0,
19.50,178,-516,0.0,Stone City,0,0,,0,
19.55,178,-516,0.0,Stone City,0,0,,0,
19.60,178,-516,0.0,Stone City,0,0,,0,
19.65,178,-516,0.0,Stone City,0,0,,0,
19.70,178,-516,0.0,Stone City,0,0,,0,
19.75,178,-516,0.0,Stone City,0,0,,0,
19.80,178,-516,0.0,Stone City,0,0,,0,
19.85,178,-516,0.0,Stone City,0,0,,0,
19.90,178,-516,0.0,Stone City,0,0,,0,
19.95,178,-516,0.0,Stone City,0,0,,0,
20.00,178,-516,0.0,Stone City,0,0,,0,
20.05,178,-516,0.0,Stone City,0,0,,0,
20.10,178,-516,0.0,Stone City,0,0,,0,
20.16,178,-516,0.0,Stone City,0,0,,0,
20.21,178,-516,0.0,Stone City,0,0,,0,
20.26,178,-516,0.0,Stone City,0,0,,0,
20.31,178,-516,0.0,Stone City,0,0,,0,
20.94,178,-516,0.0,Stone City,0,0,,0,
20.99,178,-516,0.0,Stone City,0,0,,0,
21.04,178,-516,0.0,Stone City,0,0,,0,
21.09,178,-516,0.0,Stone City,0,0,,0,
21.14,178,-516,0.0,Stone City,0,0,,0,
21.19,178,-516,0.0,Stone City,0,0,,0,
21.24,178,-516,0.0,Stone City,0,0,,0,
21.29,178,-516,0.0,Stone City,0,0,,0,
21.34,178,-516,0.0,Stone City,0,0,,0,
21.39,178,-516,0.0,Stone City,0,0,,0,
21.44,178,-516,0.0,Stone City,0,0,,0,
21.49,178,-516,0.0,Stone City,0,0,,0,
21.54,178,-516,0.0,Stone City,0,0,,0,
21.59,178,-516,0.0,Stone City,0,0,,0,
21.64,178,-516,0.0,Stone City,0,0,,0,
21.69,178,-516,0.0,Stone City,0,0,,0,
21.74,178,-516,0.0,Stone City,0,0,,0,
21.79,178,-516,0.0,Stone City,0,0,,0,
21.85,178,-516,0.0,Stone City,0,0,,0,
21.90,178,-516,0.0,Stone City,0,0,,0,
21.95,178,-516,0.0,Stone City,0,0,,0,
22.00,178,-516,0.0,Stone City,0,0,,0,
22.05,178,-516,0.0,Stone City,0,0,,0,
22.10,178,-516,0.0,Stone City,0,0,,0,
22.15,178,-516,0.0,Stone City,0,0,,0,
22.20,178,-516,0.0,Stone City,0,0,,0,
22.25,178,-516,0.0,Stone City,0,0,,0,
22.30,178,-516,0.0,Stone City,0,0,,0,
22.35,178,-516,0.0,Stone City,0,0,,0,
22.96,178,-516,0.0,Stone City,0,0,,0,
23.01,178,-516,0.0,Stone City,0,0,,0,
23.06,178,-516,0.0,Stone City,0,0,,0,
23.11,178,-516,0.0,Stone City,0,0,,0,
23.16,178,-516,0.0,Stone City,0,0,,0,
23.21,178,-516,0.0,Stone City,0,0,,0,
23.26,178,-516,0.0,Stone City,0,0,,0,
23.31,178,-516,0.0,Stone City,0,0,,0,
23.36,178,-516,0.0,Stone City,0,0,,0,
23.42,178,-516,0.0,Stone City,0,0,,0,
23.47,178,-516,0.0,Stone City,0,0,,0,
23.52,178,-516,0.0,Stone City,0,0,,0,
23.57,178,-516,0.0,Stone City,0,0,,0,
23.62,178,-516,0.0,Stone City,0,0,,0,
23.67,178,-516,0.0,Stone City,0,0,,0,
23.72,178,-516,0.0,Stone City,0,0,,0,
23.77,178,-516,0.0,Stone City,0,0,,0,
23.82,178,-516,0.0,Stone City,0,0,,0,
23.87,178,-516,0.0,Stone City,0,0,,0,
23.92,178,-516,0.0,Stone City,0,0,,0,
23.97,178,-516,0.0,Stone City,0,0,,0,
24.02,178,-516,0.0,Stone City,0,0,,0,
24.07,178,-516,0.0,Stone City,0,0,,0,
24.12,178,-516,0.0,Stone City,0,0,,0,
24.17,178,-516,0.0,Stone City,0,0,,0,
24.22,178,-516,0.0,Stone City,0,0,,0,
24.27,178,-516,0.0,Stone City,0,0,,0,
24.32,178,-516,0.0,Stone City,0,0,,0,
24.37,178,-516,0.0,Stone City,0,0,,0,
24.98,178,-516,0.0,Stone City,0,0,,0,
25.03,178,-516,0.0,Stone City,0,0,,0,
25.08,178,-516,0.0,Stone City,0,0,,0,
25.13,178,-516,0.0,Stone City,0,0,,0,
25.18,178,-516,0.0,Stone City,0,0,,0,
25.24,178,-516,0.0,Stone City,0,0,,0,
25.29,178,-516,0.0,Stone City,0,0,,0,
25.34,178,-516,0.0,Stone City,0,0,,0,
25.39,178,-516,0.0,Stone City,0,0,,0,
25.44,178,-516,0.0,Stone City,0,0,,0,
25.49,178,-516,0.0,Stone City,0,0,,0,
25.54,178,-516,0.0,Stone City,0,0,,0,
25.59,178,-516,0.0,Stone City,0,0,,0,
25.64,178,-516,0.0,Stone City,0,0,,0,
25.69,178,-516,0.0,Stone City,0,0,,0,
25.74,178,-516,0.0,Stone City,0,0,,0,
25.79,178,-516,0.0,Stone City,0,0,,0,
25.84,178,-516,0.0,Stone City,0,0,,0,
25.89,178,-516,0.0,Stone City,0,0,,0,
25.94,178,-516,0.0,Stone City,0,0,,0,
25.99,178,-516,0.0,Stone City,0,0,,0,
26.04,178,-516,0.0,Stone City,0,0,,0,
26.09,178,-516,0.0,Stone City,0,0,,0,
26.15,178,-516,0.0,Stone City,0,0,,0,
26.20,178,-516,0.0,Stone City,0,0,,0,
26.25,178,-516,0.0,Stone City,0,0,,0,
26.30,178,-516,0.0,Stone City,0,0,,0,
26.35,178,-516,0.0,Stone City,0,0,,0,
26.40,178,-516,0.0,Stone City,0,0,,0,
27.00,178,-516,0.0,Stone City,0,0,,0,
27.05,178,-516,0.0,Stone City,0,0,,0,
27.11,178,-516,0.0,Stone City,0,0,,0,
27.16,178,-516,0.0,Stone City,0,0,,0,
27.21,178,-516,0.0,Stone City,0,0,,0,
27.26,178,-516,0.0,Stone City,0,0,,0,
27.31,178,-516,0.0,Stone City,0,0,,0,
27.36,178,-516,0.0,Stone City,0,0,,0,
27.41,178,-516,0.0,Stone City,0,0,,0,
27.46,178,-516,0.0,Stone City,0,0,,0,
27.51,178,-516,0.0,Stone City,0,0,,0,
27.56,178,-516,0.0,Stone City,0,0,,0,
27.61,178,-516,0.0,Stone City,0,0,,0,
27.66,178,-516,0.0,Stone City,0,0,,0,
27.71,178,-516,0.0,Stone City,0,0,,0,
27.76,178,-516,0.0,Stone City,0,0,,0,
27.81,178,-516,0.0,Stone City,0,0,,0,
27.86,178,-516,0.0,Stone City,0,0,,0,
27.91,178,-516,0.0,Stone City,0,0,,0,
27.96,178,-516,0.0,Stone City,0,0,,0,
28.01,178,-516,0.0,Stone City,0,0,,0,
28.06,178,-516,0.0,Stone City,0,0,,0,
28.11,178,-516,0.0,Stone City,0,0,,0,
28.16,178,-516,0.0,Stone City,0,0,,0,
28.22,178,-516,0.0,Stone City,0,0,,0,
28.27,178,-516,0.0,Stone City,0,0,,0,
28.32,178,-516,0.0,Stone City,0,0,,0,
28.37,178,-516,0.0,Stone City,0,0,,0,
28.42,178,-516,0.0,Stone City,0,0,,0,
29.04,178,-516,0.0,Stone City,0,0,,0,
29.09,178,-516,0.0,Stone City,0,0,,0,
29.14,178,-516,0.0,Stone City,0,0,,0,
29.19,178,-516,0.0,Stone City,0,0,,0,
29.24,178,-516,0.0,Stone City,0,0,,0,
29.29,178,-516,0.0,Stone City,0,0,,0,
29.34,178,-516,0.0,Stone City,0,0,,0,
29.39,178,-516,0.0,Stone City,0,0,,0,
29.45,178,-516,0.0,Stone City,0,0,,0,
29.50,178,-516,0.0,Stone City,0,0,,0,
29.55,178,-516,0.0,Stone City,0,0,,0,
29.60,178,-516,0.0,Stone City,0,0,,0,
29.65,178,-516,0.0,Stone City,0,0,,0,
29.70,178,-516,0.0,Stone City,0,0,,0,
29.75,178,-516,0.0,Stone City,0,0,,0,
29.80,178,-516,0.0,Stone City,0,0,,0,
29.85,178,-516,0.0,Stone City,0,0,,0,
29.90,178,-516,0.0,Stone City,0,0,,0,
29.95,178,-516,0.0,Stone City,0,0,,0,
30.00,178,-516,0.0,Stone City,0,0,,0,
30.05,178,-516,0.0,Stone City,0,0,,0,
30.10,178,-516,0.0,Stone City,0,0,,0,
30.15,178,-516,0.0,Stone City,0,0,,0,
30.20,178,-516,0.0,Stone City,0,0,,0,
30.25,178,-516,0.0,Stone City,0,0,,0,
30.30,178,-516,0.0,Stone City,0,0,,0,
30.35,178,-516,0.0,Stone City,0,0,,0,
30.41,178,-516,0.0,Stone City,0,0,,0,
30.46,178,-516,0.0,Stone City,0,0,,0,
31.07,178,-516,0.0,Stone City,0,0,,0,
31.12,178,-516,0.0,Stone City,0,0,,0,
31.17,178,-516,0.0,Stone City,0,0,,0,
31.22,178,-516,0.0,Stone City,0,0,,0,
31.27,178,-516,0.0,Stone City,0,0,,0,
31.32,178,-516,0.0,Stone City,0,0,,0,
31.37,178,-516,0.0,Stone City,0,0,,0,
31.42,178,-516,0.0,Stone City,0,0,,0,
31.47,178,-516,0.0,Stone City,0,0,,0,
31.52,178,-516,0.0,Stone City,0,0,,0,
31.57,178,-516,0.0,Stone City,0,0,,0,
31.62,178,-516,0.0,Stone City,0,0,,0,
31.67,178,-516,0.0,Stone City,0,0,,0,
31.72,178,-516,0.0,Stone City,0,0,,0,
31.77,178,-516,0.0,Stone City,0,0,,0,
31.83,178,-516,0.0,Stone City,0,0,,0,
31.88,178,-516,0.0,Stone City,0,0,,0,
31.93,178,-516,0.0,Stone City,0,0,,0,
31.98,178,-516,0.0,Stone City,0,0,,0,
32.03,178,-516,0.0,Stone City,0,0,,0,
32.08,178,-516,0.0,Stone City,0,0,,0,
32.13,178,-516,0.0,Stone City,0,0,,0,
32.18,178,-516,0.0,Stone City,0,0,,0,
32.23,178,-516,0.0,Stone City,0,0,,0,
32.28,178,-516,0.0,Stone City,0,0,,0,
32.33,178,-516,0.0,Stone City,0,0,,0,
32.38,178,-516,0.0,Stone City,0,0,,0,
32.43,178,-516,0.0,Stone City,0,0,,0,
32.48,178,-516,0.0,Stone City,0,0,,0,
33.10,178,-516,0.0,Stone City,0,0,,0,
33.15,178,-516,0.0,Stone City,0,0,,0,
33.20,178,-516,0.0,Stone City,0,0,,0,
33.25,178,-516,0.0,Stone City,0,0,,0,
33.30,178,-516,0.0,Stone City,0,0,,0,
33.35,178,-516,0.0,Stone City,0,0,,0,
33.40,178,-516,0.0,Stone City,0,0,,0,
33.45,178,-516,0.0,Stone City,0,0,,0,
33.50,178,-516,0.0,Stone City,0,0,,0,
33.55,178,-516,0.0,Stone City,0,0,,0,
33.60,178,-516,0.0,Stone City,0,0,,0,
33.65,178,-516,0.0,Stone City,0,0,,0,
33.70,178,-516,0.0,Stone City,0,0,,0,
33.75,178,-516,0.0,Stone City,0,0,,0,
33.81,178,-516,0.0,Stone City,0,0,,0,
33.86,178,-516,0.0,Stone City,0,0,,0,
33.91,178,-516,0.0,Stone City,0,0,,0,
33.96,178,-516,0.0,Stone City,0,0,,0,
34.01,178,-516,0.0,Stone City,0,0,,0,
34.06,178,-516,0.0,Stone City,0,0,,0,
34.11,178,-516,0.0,Stone City,0,0,,0,
34.16,178,-516,0.0,Stone City,0,0,,0,
34.21,178,-516,0.0,Stone City,0,0,,0,
34.26,178,-516,0.0,Stone City,0,0,,0,
34.31,178,-516,0.0,Stone City,0,0,,0,
34.36,178,-516,0.0,Stone City,0,0,,0,
34.41,178,-516,0.0,Stone City,0,0,,0,
34.46,178,-516,0.0,Stone City,0,0,,0,
34.51,178,-516,0.0,Stone City,0,0,,0,
35.13,178,-516,0.0,Stone City,0,0,,0,
35.18,178,-516,0.0,Stone City,0,0,,0,
35.23,178,-516,0.0,Stone City,0,0,,0,
35.28,178,-516,0.0,Stone City,0,0,,0,
35.33,178,-516,0.0,Stone City,0,0,,0,
35.38,178,-516,0.0,Stone City,0,0,,0,
35.43,178,-516,0.0,Stone City,0,0,,0,
35.48,178,-516,0.0,Stone City,0,0,,0,
35.53,178,-516,0.0,Stone City,0,0,,0,
35.58,178,-516,0.0,Stone City,0,0,,0,
35.63,178,-516,0.0,Stone City,0,0,,0,
35.68,178,-516,0.0,Stone City,0,0,,0,
35.73,178,-516,0.0,Stone City,0,0,,0,
35.78,178,-516,0.0,Stone City,0,0,,0,
35.83,178,-516,0.0,Stone City,0,0,,0,
35.88,178,-516,0.0,Stone City,0,0,,0,
35.93,178,-516,0.0,Stone City,0,0,,0,
35.99,178,-516,0.0,Stone City,0,0,,0,
36.04,178,-516,0.0,Stone City,0,0,,0,
36.09,178,-516,0.0,Stone City,0,0,,0,
36.14,178,-516,0.0,Stone City,0,0,,0,
36.19,178,-516,0.0,Stone City,0,0,,0,
36.24,178,-516,0.0,Stone City,0,0,,0,
36.29,178,-516,0.0,Stone City,0,0,,0,
36.34,178,-516,0.0,Stone City,0,0,,0,
36.39,178,-516,0.0,Stone City,0,0,,0,
36.44,178,-516,0.0,Stone City,0,0,,0,
36.49,178,-516,0.0,Stone City,0,0,,0,
36.54,178,-516,0.0,Stone City,0,0,,0,
37.17,178,-516,0.0,Stone City,0,0,,0,
37.22,178,-516,0.0,Stone City,0,0,,0,
37.27,178,-516,0.0,Stone City,0,0,,0,
37.32,178,-516,0.0,Stone City,0,0,,0,
37.37,178,-516,0.0,Stone City,0,0,,0,
37.42,178,-516,0.0,Stone City,0,0,,0,
37.47,178,-516,0.0,Stone City,0,0,,0,
37.52,178,-516,0.0,Stone City,0,0,,0,
37.57,178,-516,0.0,Stone City,0,0,,0,
37.62,178,-516,0.0,Stone City,0,0,,0,
37.67,178,-516,0.0,Stone City,0,0,,0,
37.72,178,-516,0.0,Stone City,0,0,,0,
37.77,178,-516,0.0,Stone City,0,0,,0,
37.82,178,-516,0.0,Stone City,0,0,,0,
37.87,178,-516,0.0,Stone City,0,0,,0,
37.92,178,-516,0.0,Stone City,0,0,,0,
37.97,178,-516,0.0,Stone City,0,0,,0,
38.02,178,-516,0.0,Stone City,0,0,,0,
38.07,178,-516,0.0,Stone City,0,0,,0,
38.13,178,-516,0.0,Stone City,0,0,,0,
38.18,178,-516,0.0,Stone City,0,0,,0,
